generation,name,tier,type_1,type_2,roles,hp,attack,defense,special_attack,special_defense,speed
9,Rotom-Heat,NU,Electric,Fire,defensive_pivot;pivot;status_spreader;support,50,65,107,105,107,86
9,Rotom-Mow,NU,Electric,Grass,choice_user;defensive_pivot;pivot;revenge_killer;setup_sweeper;special_attacker;speed_control;status_spreader;support,50,65,107,105,107,86
9,Salazzle,NU,Poison,Fire,defensive_pivot;setup_sweeper;special_attacker;speed_control;status_spreader;support,68,64,60,111,60,117
9,Sandaconda,NU,Ground,-,bulky_pivot;defensive_pivot;hazard_setter;lead;physical_wall;status_spreader;support,72,107,125,65,70,71
9,Sandslash,NU,Ground,-,bulky_pivot;defensive_pivot;hazard_remover;hazard_setter;lead;physical_attacker;physical_wall;sand_setter;setup_sweeper;speed_control;wallbreaker;weather_abuser,75,100,110,45,55,65
9,Sandslash-Alola,NU,Ice,Steel,bulky_pivot;defensive_pivot;hazard_remover;physical_attacker;setup_sweeper;special_wall;speed_control;support;wallbreaker;weather_abuser,75,100,120,25,65,65
9,Sceptile,NU,Grass,-,physical_attacker;rain_setter;setup_sweeper,70,85,65,105,85,120
9,Scovillain,NU,Grass,Fire,choice_user;special_attacker;special_wallbreaker;speed_control;wallbreaker,65,108,65,108,65,75
9,Scrafty,NU,Dark,Fighting,bulky_pivot;physical_attacker;setup_sweeper;special_wall;speed_control,65,90,115,45,115,58
9,Scream Tail,NU,Fairy,Psychic,cleric;defensive_pivot;hazard_setter;lead;setup_sweeper;special_attacker;speed_control;status_spreader;support,115,65,99,65,115,111
9,Scyther,NU,Bug,Flying,hazard_remover;physical_attacker;pivot;setup_sweeper;speed_control,70,110,80,55,80,105
9,Slowbro-Galar,NU,Poison,Psychic,bulky_pivot;defensive_pivot;physical_wall;special_attacker;special_tank,95,100,95,100,70,30
9,Smeargle,NU,Normal,-,hazard_remover;lead;physical_attacker;speed_control,55,20,35,20,45,75
9,Snorlax,NU,Normal,-,setup_sweeper,160,110,65,65,110,30
9,Staraptor,NU,Normal,Flying,choice_user;physical_attacker;physical_wallbreaker;priority_user;revenge_killer;speed_control;wallbreaker,85,120,70,50,60,100
9,Swampert,NU,Water,Ground,defensive_pivot;hazard_setter;lead;pivot;support,100,110,90,85,90,60
9,Sylveon,NU,Fairy,-,bulky_pivot;choice_user;cleric;defensive_pivot;phazer;physical_wall;setup_sweeper;special_attacker;special_wallbreaker;speed_control;support;wallbreaker,95,65,65,110,130,60
9,Tauros-Paldea-Aqua,NU,Fighting,Water,choice_user;physical_attacker;physical_wallbreaker;priority_user;revenge_killer;setup_sweeper;speed_control;wallbreaker,75,110,105,30,70,100
9,Tauros-Paldea-Blaze,NU,Fighting,Fire,choice_user;physical_attacker;physical_wallbreaker;setup_sweeper;speed_control;wallbreaker,75,110,105,30,70,100
9,Tentacruel,NU,Water,Poison,bulky_pivot;defensive_pivot;hazard_remover;phazer;pivot;support,80,70,65,80,120,100
9,Toxicroak,NU,Poison,Fighting,physical_attacker;setup_sweeper;special_attacker;speed_control;wallbreaker,83,106,65,86,65,85
9,Tsareena,NU,Grass,-,bulky_pivot;defensive_pivot;hazard_remover;physical_attacker;physical_wall;speed_control;support,72,120,98,50,98,72
9,Typhlosion-Hisui,NU,Fire,Ghost,choice_user;revenge_killer;special_attacker;speed_control,73,84,78,119,85,95
9,Uxie,NU,Psychic,-,defensive_pivot;hazard_setter;lead;pivot;setup_sweeper;special_attacker;speed_control;support,75,75,130,75,130,95
9,Vaporeon,NU,Water,-,bulky_pivot;cleric;defensive_pivot;physical_wall;pivot;support,130,65,60,110,95,65
9,Venusaur,NU,Grass,Poison,setup_sweeper;special_attacker;speed_control;sun_setter;wallbreaker;weather_abuser,80,82,83,100,100,80
9,Vileplume,NU,Grass,Poison,bulky_pivot;defensive_pivot;physical_wall;status_spreader;support,75,80,85,110,90,50
9,Weezing,NU,Poison,-,bulky_pivot;defensive_pivot;physical_wall;stallbreaker;status_spreader;support,65,90,120,85,70,60
9,Whimsicott,NU,Grass,Fairy,bulky_pivot;defensive_pivot;physical_wall;pivot;support,60,67,85,77,75,116
9,Wo-Chien,NU,Dark,Grass,bulky_pivot;defensive_pivot;special_wall;support,85,85,100,95,135,70
9,Alomomola,OU,Water,-,bulky_pivot;cleric;defensive_pivot;physical_wall;pivot;special_tank;support,165,75,80,40,45,65
9,Amoonguss,OU,Grass,Poison,bulky_pivot;defensive_pivot;physical_wall;status_spreader;support,114,85,70,85,80,30
9,Araquanid,OU,Water,Bug,hazard_setter;lead,68,70,92,50,132,42
9,Arcanine-Hisui,OU,Fire,Rock,choice_user;physical_attacker;physical_wallbreaker;priority_user;revenge_killer;speed_control;wallbreaker,95,115,80,95,80,90
9,Barraskewda,OU,Water,-,choice_user;physical_attacker;physical_wallbreaker;pivot;priority_user;rain_setter;revenge_killer;setup_sweeper;speed_control;wallbreaker,61,123,60,60,50,136
9,Blaziken,OU,Fire,Fighting,physical_attacker;setup_sweeper;speed_control;wallbreaker,80,120,70,110,70,80
9,Blissey,OU,Normal,-,defensive_pivot;hazard_setter;lead;setup_sweeper;support,255,10,10,75,135,55
9,Ceruledge,OU,Fire,Ghost,bulky_pivot;physical_attacker;priority_user;revenge_killer;setup_sweeper;special_wall;speed_control;stallbreaker;support;wallbreaker,75,125,80,60,100,85
9,Chansey,OU,Normal,-,bulky_pivot;defensive_pivot;hazard_setter;lead;physical_wall;status_spreader;support,250,5,5,35,105,50
9,Chesnaught,OU,Grass,Fighting,bulky_pivot;defensive_pivot;hazard_setter;lead;physical_wall;support,88,107,122,74,75,64
9,Cinderace,OU,Fire,-,hazard_remover;physical_attacker;pivot;priority_user;revenge_killer;speed_control;status_spreader,80,116,75,65,75,119
9,Clefable,OU,Fairy,-,bulky_pivot;defensive_pivot;hazard_setter;lead;physical_wall;setup_sweeper;status_spreader;support,95,70,73,95,90,60
9,Clodsire,OU,Poison,Ground,bulky_pivot;defensive_pivot;special_wall;status_spreader;support,130,75,60,45,100,20
9,Comfey,OU,Fairy,-,defensive_pivot;setup_sweeper;special_attacker;wallbreaker,51,52,90,82,110,100
9,Corviknight,OU,Flying,Steel,bulky_pivot;defensive_pivot;hazard_remover;physical_wall;setup_sweeper;support,98,87,105,53,85,67
9,Cresselia,OU,Psychic,-,bulky_pivot;defensive_pivot;physical_wall;status_spreader;support;trick_room_setter,120,70,110,75,120,85
9,Darkrai,OU,Dark,-,choice_user;revenge_killer;setup_sweeper;special_attacker;special_wallbreaker;speed_control;wallbreaker,70,90,90,135,90,125
9,Deoxys-Speed,OU,Psychic,-,hazard_setter;lead;mixed_attacker;screen_setter;setup_sweeper;special_attacker;speed_control;stallbreaker;support;wallbreaker,50,95,90,95,90,180
9,Ditto,OU,Normal,-,choice_user;revenge_killer;special_attacker;speed_control,48,48,48,48,48,48
9,Dondozo,OU,Water,-,bulky_pivot;physical_wall;setup_sweeper,150,100,115,65,65,35
9,Dragapult,OU,Dragon,Ghost,choice_user;pivot;special_attacker;special_wallbreaker;speed_control;status_spreader;wallbreaker,88,120,75,100,75,142
9,Dragonite,OU,Dragon,Flying,choice_user;defensive_pivot;phazer;physical_attacker;physical_wallbreaker;priority_user;revenge_killer;setup_sweeper;speed_control;support;wallbreaker,91,134,95,100,100,80
9,Enamorus-Therian,OU,Fairy,Flying,choice_user;setup_sweeper;special_attacker;special_wallbreaker;wallbreaker,74,115,110,135,100,46
9,Excadrill,OU,Ground,Steel,hazard_remover;physical_attacker;sand_setter;setup_sweeper;speed_control,110,135,60,50,65,88
9,Fezandipiti,OU,Poison,Fairy,defensive_pivot;pivot;special_wall,88,91,82,70,125,99
9,Garchomp,OU,Dragon,Ground,bulky_pivot;hazard_setter;lead;phazer;physical_attacker;physical_wall;setup_sweeper;speed_control;support,108,130,95,80,85,102
9,Garganacl,OU,Rock,-,bulky_pivot;defensive_pivot;hazard_setter;lead;setup_sweeper;special_wall,100,100,130,45,90,35
9,Gholdengo,OU,Steel,Ghost,bulky_pivot;choice_user;defensive_pivot;physical_wall;revenge_killer;setup_sweeper;special_attacker;speed_control;status_spreader,87,60,95,133,91,84
9,Glimmora,OU,Rock,Poison,hazard_setter;lead;special_attacker;speed_control,83,55,90,130,81,86
9,Gliscor,OU,Ground,Flying,bulky_pivot;defensive_pivot;hazard_setter;lead;setup_sweeper;special_wall;support,75,95,125,45,75,95
9,Goodra-Hisui,OU,Steel,Dragon,phazer;special_attacker;special_tank;support,80,100,100,110,150,60
9,Great Tusk,OU,Ground,Fighting,defensive_pivot;hazard_remover;hazard_setter;lead;physical_attacker;setup_sweeper;speed_control;support,115,131,131,53,53,87
9,Greninja,OU,Water,Dark,special_attacker;speed_control;wallbreaker,72,95,67,103,71,122
9,Grimmsnarl,OU,Dark,Fairy,lead;pivot;screen_setter;support,95,120,65,95,75,60
9,Hatterene,OU,Psychic,Fairy,bulky_pivot;cleric;lead;physical_wall;setup_sweeper;special_attacker;special_tank;support;trick_room_setter,57,90,95,136,103,29
9,Hawlucha,OU,Fighting,Flying,physical_attacker;setup_sweeper,78,92,75,74,63,118
9,Heatran,OU,Fire,Steel,bulky_pivot;defensive_pivot;hazard_setter;lead;special_attacker;special_wall;speed_control;stallbreaker;support;trapper,91,90,106,130,106,77
9,Hoopa-Unbound,OU,Psychic,Dark,bulky_pivot;physical_wall;special_tank;support;trick_room_setter,80,160,60,170,130,80
9,Hydrapple,OU,Grass,Dragon,bulky_pivot;defensive_pivot;physical_wall;setup_sweeper,106,80,110,120,80,44
9,Hydreigon,OU,Dark,Dragon,choice_user;setup_sweeper;special_attacker;special_wallbreaker;speed_control;wallbreaker,92,105,90,125,90,98
9,Iron Boulder,OU,Rock,Psychic,physical_attacker;setup_sweeper;speed_control,90,120,80,68,108,124
9,Iron Crown,OU,Steel,Psychic,choice_user;pivot;setup_sweeper;special_attacker;special_tank;special_wallbreaker;speed_control;wallbreaker,90,72,100,122,108,98
9,Iron Hands,OU,Fighting,Electric,physical_attacker;setup_sweeper,154,140,108,50,68,50
9,Iron Jugulis,OU,Dark,Flying,general_attacker,94,80,86,122,80,108
9,Iron Moth,OU,Fire,Poison,general_attacker,80,70,60,140,110,110
9,Iron Treads,OU,Ground,Steel,defensive_pivot;hazard_remover;hazard_setter;lead;support,90,112,120,72,70,106
9,Iron Valiant,OU,Fairy,Fighting,choice_user;physical_attacker;setup_sweeper;special_attacker;special_wallbreaker;speed_control;wallbreaker,74,130,90,120,60,116
9,Kingambit,OU,Dark,Steel,priority_user;revenge_killer;setup_sweeper,100,135,120,60,85,50
9,Kommo-o,OU,Dragon,Fighting,general_attacker,75,110,125,100,105,85
9,Kyurem,OU,Dragon,Ice,choice_user;setup_sweeper;special_attacker;special_tank;special_wallbreaker;speed_control;wallbreaker,125,130,90,130,90,95
9,Landorus-Therian,OU,Ground,Flying,choice_user;defensive_pivot;hazard_setter;lead;physical_attacker;pivot;revenge_killer;speed_control;support,89,145,90,105,80,91
9,Latias,OU,Dragon,Psychic,setup_sweeper,80,80,90,110,130,110
9,Latios,OU,Dragon,Psychic,choice_user;revenge_killer;setup_sweeper;special_attacker;special_wallbreaker;speed_control;wallbreaker,80,90,80,130,110,110
9,Lilligant-Hisui,OU,Grass,Fighting,physical_attacker;setup_sweeper;speed_control;sun_setter;wallbreaker,70,105,75,50,75,105
9,Lokix,OU,Bug,Dark,choice_user;physical_attacker;physical_wallbreaker;pivot;priority_user;revenge_killer;speed_control;wallbreaker,71,102,78,52,55,92
9,Mamoswine,OU,Ice,Ground,choice_user;physical_attacker;physical_wallbreaker;priority_user;revenge_killer;speed_control;wallbreaker,110,130,80,70,60,80
9,Manaphy,OU,Water,-,general_attacker;special_attacker;speed_control,100,100,100,100,100,100
9,Mandibuzz,OU,Dark,Flying,bulky_pivot;defensive_pivot;hazard_remover;physical_wall;support,110,65,105,55,95,80
9,Meowscarada,OU,Grass,Dark,choice_user;physical_attacker;physical_wallbreaker;pivot;revenge_killer;speed_control;wallbreaker,76,110,70,81,70,123
9,Moltres,OU,Fire,Flying,bulky_pivot;defensive_pivot;physical_wall;pivot;status_spreader;support,90,100,90,125,85,90
9,Moltres-Galar,OU,Dark,Flying,setup_sweeper,90,85,90,100,125,90
9,Ninetales,OU,Fire,-,cleric;sun_setter;support;weather_setter,73,76,75,81,100,100
9,Ninetales-Alola,OU,Ice,Fairy,lead;screen_setter;snow_setter;support;weather_setter,73,67,75,81,100,109
9,Ogerpon,OU,Grass,-,choice_user;physical_attacker;physical_wallbreaker;pivot;speed_control;wallbreaker,80,120,84,60,96,110
9,Ogerpon-Cornerstone,OU,Grass,Rock,physical_attacker;setup_sweeper;speed_control,80,120,84,60,96,110
9,Ogerpon-Wellspring,OU,Grass,Water,defensive_pivot;physical_attacker;pivot;setup_sweeper;speed_control;support,80,120,84,60,96,110
9,Okidogi,OU,Poison,Fighting,bulky_pivot;physical_attacker;setup_sweeper;special_tank;special_wall,88,128,115,58,86,80
9,Overqwil,OU,Dark,Poison,physical_attacker;rain_setter;setup_sweeper;speed_control;wallbreaker;weather_abuser,85,115,95,65,65,85
9,Pecharunt,OU,Poison,Ghost,defensive_pivot;general_attacker;setup_sweeper,88,88,160,88,88,88
9,Pelipper,OU,Water,Flying,defensive_pivot;pivot;rain_setter;weather_setter,60,50,100,95,70,65
9,Primarina,OU,Water,Fairy,bulky_pivot;physical_wall;setup_sweeper;special_attacker;special_tank;trapper,80,74,74,126,116,60
9,Quagsire,OU,Water,Ground,bulky_pivot;defensive_pivot;hazard_setter;lead;physical_wall;status_spreader;support,95,85,85,65,65,35
9,Quaquaval,OU,Water,Fighting,hazard_remover;physical_attacker;setup_sweeper;special_tank;speed_control,85,120,80,85,75,85
9,Raging Bolt,OU,Electric,Dragon,choice_user;pivot;setup_sweeper;special_attacker;special_wallbreaker;speed_control;wallbreaker,125,73,91,137,89,75
9,Reuniclus,OU,Psychic,-,defensive_pivot;special_attacker;stallbreaker;wallbreaker,110,65,75,125,85,30
9,Ribombee,OU,Bug,Fairy,hazard_setter;lead;special_attacker;speed_control;status_spreader,60,55,60,95,70,124
9,Rillaboom,OU,Grass,-,choice_user;defensive_pivot;physical_attacker;physical_wallbreaker;pivot;setup_sweeper;speed_control;support;wallbreaker,100,125,90,60,70,85
9,Rotom-Wash,OU,Electric,Water,bulky_pivot;defensive_pivot;physical_wall;pivot;status_spreader;support,50,65,107,105,107,86
9,Samurott-Hisui,OU,Water,Dark,bulky_pivot;choice_user;lead;physical_attacker;priority_user;revenge_killer;setup_sweeper;special_tank;speed_control,90,108,80,100,65,85
9,Scizor,OU,Bug,Steel,choice_user;defensive_pivot;hazard_remover;physical_attacker;physical_wallbreaker;pivot;priority_user;revenge_killer;setup_sweeper;support;wallbreaker,70,130,100,55,80,65
9,Serperior,OU,Grass,-,choice_user;revenge_killer;special_attacker;speed_control;status_spreader,75,75,95,75,95,113
9,Sinistcha,OU,Grass,Ghost,bulky_pivot;physical_wall;setup_sweeper,71,60,106,121,80,70
9,Skarmory,OU,Steel,Flying,defensive_pivot;phazer;setup_sweeper;support,65,80,140,40,70,70
9,Skeledirge,OU,Fire,Ghost,defensive_pivot;status_spreader;support,104,75,100,110,75,66
9,Slither Wing,OU,Bug,Fighting,bulky_pivot;defensive_pivot;physical_attacker;physical_wall;pivot;special_tank;speed_control;status_spreader;support,85,135,79,85,105,81
9,Slowking,OU,Water,Psychic,defensive_pivot;pivot;status_spreader;support,95,75,80,100,110,30
9,Slowking-Galar,OU,Poison,Psychic,defensive_pivot;pivot;special_tank;support,95,65,80,110,110,30
9,Talonflame,OU,Fire,Flying,bulky_pivot;defensive_pivot;hazard_remover;physical_wall;status_spreader,78,81,71,74,69,126
9,Ting-Lu,OU,Dark,Ground,bulky_pivot;defensive_pivot;hazard_setter;lead;special_wall;support,155,110,125,55,80,45
9,Tinkaton,OU,Fairy,Steel,defensive_pivot;hazard_setter;lead;status_spreader;support,85,75,77,70,105,94
9,Torkoal,OU,Fire,-,hazard_remover;hazard_setter;lead;status_spreader;sun_setter;weather_setter,70,85,140,85,70,20
9,Tornadus-Therian,OU,Flying,-,pivot;setup_sweeper;special_attacker;special_tank;speed_control;wallbreaker,79,100,80,110,90,121
9,Toxapex,OU,Poison,Water,defensive_pivot;hazard_setter;lead;phazer;special_attacker;special_tank;status_spreader;support,50,63,152,53,142,35
9,Tyranitar,OU,Rock,Dark,bulky_pivot;choice_user;defensive_pivot;hazard_setter;lead;phazer;physical_attacker;physical_wallbreaker;special_wall;speed_control;support;wallbreaker,100,134,110,95,100,61
9,Umbreon,OU,Dark,-,bulky_pivot;cleric;defensive_pivot;special_wall;status_spreader;support,95,65,110,60,130,65
9,Ursaluna,OU,Ground,Normal,wallbreaker,130,140,105,45,80,50
9,Venusaur,OU,Grass,Poison,setup_sweeper;special_attacker;speed_control;sun_setter;wallbreaker;weather_abuser,80,82,83,100,100,80
9,Volcanion,OU,Fire,Water,choice_user;defensive_pivot;special_attacker;special_wallbreaker;speed_control;stallbreaker;support;wallbreaker,80,110,120,130,90,70
9,Walking Wake,OU,Water,Dragon,choice_user;special_attacker;special_wallbreaker;speed_control;sun_setter;wallbreaker,99,83,91,125,83,109
9,Weavile,OU,Dark,Ice,choice_user;physical_attacker;physical_wallbreaker;priority_user;revenge_killer;setup_sweeper;speed_control;wallbreaker,70,120,65,45,85,125
9,Weezing-Galar,OU,Poison,Fairy,bulky_pivot;defensive_pivot;hazard_remover;physical_wall;status_spreader;support,65,90,120,85,70,60
9,Zamazenta,OU,Fighting,-,phazer;physical_attacker;setup_sweeper;speed_control;support;wallbreaker,92,120,115,80,115,138
9,Zapdos,OU,Electric,Flying,bulky_pivot;defensive_pivot;physical_wall;pivot;special_attacker;speed_control;status_spreader;support,90,90,85,125,90,100
9,Zarude,OU,Dark,Grass,defensive_pivot;physical_attacker;setup_sweeper;speed_control,105,120,105,70,95,105
9,Amoonguss,RU,Grass,Poison,bulky_pivot;defensive_pivot;physical_wall;status_spreader;support,114,85,70,85,80,30
9,Armarouge,RU,Fire,Psychic,setup_sweeper;special_attacker;speed_control,85,60,100,125,80,75
9,Azelf,RU,Psychic,-,hazard_setter;lead;physical_attacker;special_attacker;speed_control;stallbreaker;support,75,125,70,125,70,115
9,Barraskewda,RU,Water,-,choice_user;physical_attacker;physical_wallbreaker;pivot;priority_user;revenge_killer;speed_control;wallbreaker,61,123,60,60,50,136
9,Basculegion-F,RU,Water,Ghost,choice_user;pivot;revenge_killer;setup_sweeper;special_attacker;special_wallbreaker;speed_control;wallbreaker,120,92,65,100,75,78
9,Bellibolt,RU,Electric,-,bulky_pivot;physical_wall;pivot,109,64,91,103,83,45
9,Bisharp,RU,Dark,Steel,physical_attacker;priority_user;revenge_killer;setup_sweeper,65,125,100,60,70,70
9,Blissey,RU,Normal,-,bulky_pivot;cleric;defensive_pivot;hazard_setter;lead;physical_wall;status_spreader;support,255,10,10,75,135,55
9,Breloom,RU,Grass,Fighting,general_attacker,60,130,80,60,60,70
9,Bronzong,RU,Steel,Psychic,bulky_pivot;hazard_setter;lead;special_wall,67,89,116,79,116,33
9,Cetitan,RU,Ice,-,physical_attacker;speed_control;weather_abuser,170,113,65,45,55,73
9,Chansey,RU,Normal,-,cleric;defensive_pivot;hazard_setter;lead;support,250,5,5,35,105,50
9,Chesnaught,RU,Grass,Fighting,bulky_pivot;defensive_pivot;hazard_setter;lead;physical_wall,88,107,122,74,75,64
9,Cloyster,RU,Water,Ice,physical_attacker;setup_sweeper;speed_control,50,95,180,85,45,70
9,Crawdaunt,RU,Water,Dark,choice_user;physical_attacker;physical_wallbreaker;priority_user;revenge_killer;setup_sweeper;speed_control;wallbreaker,63,120,85,90,55,55
