generation,pokemon,set_name,format,tier,roles,item,ability,nature,tera_type,ev_hp,ev_atk,ev_def,ev_spa,ev_spd,ev_spe,iv_hp,iv_atk,iv_def,iv_spa,iv_spd,iv_spe,move_1,move_2,move_3,move_4
9,Kyogre,Choice Scarf,gen9ubers,Ubers,choice_user;revenge_killer;special_attacker;speed_control,Choice Scarf,,Timid,,0,0,4,252,0,252,31,0,31,31,31,31,Water Spout,Origin Pulse,Ice Beam,Thunder
9,Kyogre,Choice Specs,gen9ubers,Ubers,choice_user;special_attacker;special_wallbreaker;speed_control;wallbreaker,Choice Specs,,Modest,,0,0,4,252,0,252,31,0,31,31,31,31,Water Spout,Origin Pulse,Ice Beam,Thunder
9,Kyogre,Sitrus Berry,gen9ubers,Ubers,status_spreader,Sitrus Berry,,Modest,,248,0,76,96,0,88,31,0,31,31,31,31,Origin Pulse,Thunder,Ice Beam,Thunder Wave
9,Kyogre,Bulky Choice Specs,gen9ubers,Ubers,choice_user;special_attacker;special_wallbreaker;wallbreaker,Choice Specs,,Modest,,248,0,0,216,0,44,31,0,31,31,31,31,Surf,Water Spout,Ice Beam,Thunder
9,Groudon,Defensive,gen9ubers,Ubers,bulky_pivot;defensive_pivot;hazard_setter;lead;physical_wall;support,Leftovers,,Impish,,240,0,252,0,0,16,31,31,31,31,31,31,Spikes,Precipice Blades,Earthquake,Stone Edge
9,Groudon,Swords Dance,gen9ubers,Ubers,physical_attacker;setup_sweeper;speed_control,Lum Berry,,Adamant,,0,252,4,0,0,252,31,31,31,31,31,31,Swords Dance,Precipice Blades,Stone Edge,Heat Crash
9,Rayquaza,Dragon Dance,gen9ubers,Ubers,physical_attacker;priority_user;revenge_killer;setup_sweeper;speed_control;wallbreaker,Life Orb,,Jolly,,0,252,4,0,0,252,31,31,31,31,31,31,Dragon Dance,Dragon Ascent,Earthquake,Extreme Speed
9,Rayquaza,Swords Dance,gen9ubers,Ubers,physical_attacker;priority_user;revenge_killer;setup_sweeper;speed_control;wallbreaker,Life Orb,,Jolly,,0,252,4,0,0,252,31,31,31,31,31,31,Swords Dance,Dragon Ascent,Earthquake,Extreme Speed
9,Deoxys-Attack,Mixed Attacker,gen9ubers,Ubers,special_attacker;speed_control;wallbreaker,Life Orb,,Naive,,0,4,0,252,0,252,31,31,31,31,31,31,Psycho Boost,Shadow Ball,Low Kick,Rock Slide
9,Deoxys-Attack,Lead,gen9ubers,Ubers,hazard_setter;lead;special_attacker;speed_control,Focus Sash,,Timid,,0,0,4,252,0,252,31,0,31,31,31,31,Shadow Ball,Spikes,Stealth Rock,Icy Wind
9,Deoxys-Speed,Lead,gen9ubers,Ubers,bulky_pivot;hazard_setter;lead;physical_wall;stallbreaker;status_spreader;support,Rocky Helmet,,Timid,,248,0,240,0,0,16,31,31,31,31,31,31,Stealth Rock,Thunder Wave,Spikes,Taunt
9,Gliscor,Defensive,gen9ubers,Ubers,defensive_pivot;status_spreader;support,Toxic Orb,Poison Heal,Impish,,0,0,0,0,0,0,31,31,31,31,31,31,Earthquake,Knock Off,Toxic,Knock Off
9,Dialga,Choiced,gen9ubers,Ubers,choice_user;revenge_killer;special_attacker;speed_control,Choice Scarf,Telepathy,Timid,,0,0,0,252,4,252,31,0,31,31,31,31,Draco Meteor,Fire Blast,Flash Cannon,Trick
9,Dialga-Origin,Stealth Rock Setter,gen9ubers,Ubers,hazard_setter;lead;phazer;support,Adamant Crystal,,Timid,,252,0,0,4,0,252,31,0,31,31,31,31,Draco Meteor,Steel Beam,Stealth Rock,Dragon Tail
9,Palkia,Substitute,gen9ubers,Ubers,special_attacker;speed_control,Leftovers,,Timid,,0,0,0,252,4,252,31,0,31,31,31,31,Substitute,Spacial Rend,Earth Power,Fire Blast
9,Palkia-Origin,Wallbreaker,gen9ubers,Ubers,special_attacker;speed_control;status_spreader;wallbreaker,Lustrous Globe,,Timid,,0,0,0,252,4,252,31,0,31,31,31,31,Hydro Pump,Spacial Rend,Thunder Wave,Substitute
9,Giratina,Defog,gen9ubers,Ubers,bulky_pivot;defensive_pivot;hazard_remover;phazer;physical_wall;status_spreader;support,Heavy-Duty Boots,,Impish,,252,0,252,0,4,0,31,31,31,31,31,31,Dragon Tail,Will-O-Wisp,Defog,Rest
9,Giratina-Origin,Physical Utility,gen9ubers,Ubers,defensive_pivot;phazer;status_spreader;support,Griseous Core,,Adamant,,248,104,112,0,0,44,31,31,31,31,31,31,Poltergeist,Dragon Tail,Will-O-Wisp,Thunder Wave
9,Giratina-Origin,Special Utility,gen9ubers,Ubers,defensive_pivot;status_spreader;support,Griseous Core,,Modest,,248,0,112,104,0,44,31,31,31,31,31,31,Hex,Draco Meteor,Thunder Wave,Will-O-Wisp
9,Darkrai,Choice Scarf,gen9ubers,Ubers,choice_user;revenge_killer;special_attacker;speed_control,Choice Scarf,,Timid,,0,0,0,252,4,252,31,31,31,31,31,31,Dark Pulse,Trick,Sludge Bomb,Ice Beam
9,Darkrai,Nasty Plot,gen9ubers,Ubers,setup_sweeper;special_attacker;speed_control;wallbreaker,Life Orb,,Timid,,0,0,0,252,4,252,31,0,31,31,31,31,Nasty Plot,Sludge Bomb,Dark Pulse,Ice Beam
9,Shaymin-Sky,Choice Scarf,gen9ubers,Ubers,choice_user;cleric;revenge_killer;special_attacker;speed_control;support,Choice Scarf,,Timid,,0,0,0,252,4,252,31,31,31,31,31,31,Seed Flare,Air Slash,Earth Power,Healing Wish
9,Shaymin-Sky,SubSeed,gen9ubers,Ubers,special_attacker;speed_control,Leftovers,,Timid,,0,0,0,252,4,252,31,31,31,31,31,31,Substitute,Seed Flare,Air Slash,Leech Seed
9,Arceus,Swords Dance Extreme Killer,gen9ubers,Ubers,physical_attacker;priority_user;revenge_killer;setup_sweeper;stallbreaker;support,Heavy-Duty Boots,,Adamant,,200,252,0,0,0,56,31,31,31,31,31,31,Swords Dance,Extreme Speed,Shadow Claw,Taunt
9,Arceus,Bulk Up,gen9ubers,Ubers,physical_attacker;priority_user;revenge_killer;setup_sweeper;stallbreaker;support,Leftovers,,Adamant,,248,204,0,0,0,56,31,31,31,31,31,31,Bulk Up,Extreme Speed,Shadow Claw,Taunt
9,Arceus,Stall,gen9ubers,Ubers,bulky_pivot;phazer;physical_wall;setup_sweeper;status_spreader;support,Heavy-Duty Boots,,Impish,,252,0,252,0,4,0,31,31,31,31,31,31,Iron Defense,Dragon Tail,Foul Play,Will-O-Wisp
9,Arceus-Bug,Calm Mind,gen9ubers,Ubers,defensive_pivot;setup_sweeper,Insect Plate,,Timid,,248,0,0,8,0,252,31,0,31,31,31,31,Ice Beam,Earth Power,Calm Mind,Recover
9,Arceus-Dark,Calm Mind + Taunt,gen9ubers,Ubers,defensive_pivot;setup_sweeper;stallbreaker;support,Dread Plate,,Timid,,248,0,0,8,0,252,31,0,31,31,31,31,Calm Mind,Judgment,Recover,Taunt
9,Arceus-Dark,Defensive,gen9ubers,Ubers,bulky_pivot;defensive_pivot;physical_wall;stallbreaker;status_spreader;support,Dread Plate,,Bold,,248,0,132,0,0,128,31,0,31,31,31,31,Foul Play,Will-O-Wisp,Recover,Taunt
9,Arceus-Dragon,Dragon Dance,gen9ubers,Ubers,physical_attacker;setup_sweeper,Draco Plate,,Adamant,,128,252,0,0,0,128,31,31,31,31,31,31,Dragon Claw,Outrage,Flare Blitz,Dragon Dance
9,Arceus-Electric,Calm Mind,gen9ubers,Ubers,defensive_pivot;setup_sweeper,Zap Plate,,Timid,,252,0,0,4,0,252,31,0,31,31,31,31,Judgment,Ice Beam,Calm Mind,Recover
9,Arceus-Electric,Utility,gen9ubers,Ubers,bulky_pivot;defensive_pivot;physical_wall;setup_sweeper;status_spreader;support,Zap Plate,,Bold,,240,0,252,0,0,16,31,0,31,31,31,31,Judgment,Will-O-Wisp,Calm Mind,Ice Beam
9,Arceus-Fairy,Defensive Wall,gen9ubers,Ubers,bulky_pivot;defensive_pivot;physical_wall;setup_sweeper;status_spreader;support,Pixie Plate,,Bold,,240,0,252,0,0,16,31,31,31,31,31,31,Judgment,Thunder Wave,Will-O-Wisp,Calm Mind
9,Arceus-Fairy,Iron Defense + Calm Mind,gen9ubers,Ubers,bulky_pivot;defensive_pivot;physical_wall;setup_sweeper,Pixie Plate,,Bold,,248,0,136,0,0,124,31,0,31,31,31,31,Iron Defense,Calm Mind,Recover,Judgment
9,Arceus-Fighting,Cosmic Power,gen9ubers,Ubers,bulky_pivot;defensive_pivot;physical_wall,Fist Plate,,Bold,,252,0,132,0,0,124,31,0,31,31,31,31,Body Press,Cosmic Power,Recover,Stored Power
9,Arceus-Fire,Dragon Dance,gen9ubers,Ubers,physical_attacker;setup_sweeper;stallbreaker;support,Flame Plate,,Adamant,,128,252,0,0,0,128,31,31,31,31,31,31,Dragon Dance,Flare Blitz,Earthquake,Taunt
9,Arceus-Flying,Calm Mind + Taunt,gen9ubers,Ubers,defensive_pivot;setup_sweeper;stallbreaker;support,Sky Plate,,Timid,,248,0,0,8,0,252,31,0,31,31,31,31,Calm Mind,Judgment,Taunt,Recover
9,Arceus-Ghost,Calm Mind + 3 Attacks,gen9ubers,Ubers,setup_sweeper;special_attacker;speed_control,Spooky Plate,,Modest,,4,0,0,252,0,252,31,0,31,31,31,31,Calm Mind,Judgment,Focus Blast,Power Gem
9,Arceus-Ghost,Support,gen9ubers,Ubers,bulky_pivot;defensive_pivot;phazer;physical_wall;setup_sweeper;support,Spooky Plate,,Timid,,248,0,204,0,0,56,31,31,31,31,31,31,Calm Mind,Judgment,Dragon Tail,Recover
9,Arceus-Grass,Calm Mind,gen9ubers,Ubers,defensive_pivot;setup_sweeper,Meadow Plate,,Timid,,252,0,0,4,0,252,31,0,31,31,31,31,Calm Mind,Judgment,Recover,Earth Power
9,Arceus-Grass,3 Attacks,gen9ubers,Ubers,general_attacker,Meadow Plate,,Timid,,252,0,0,4,0,252,31,0,31,31,31,31,Grass Knot,Judgment,Earth Power,Ice Beam
9,Arceus-Ground,Dragon Dance,gen9ubers,Ubers,defensive_pivot;physical_attacker;setup_sweeper,Earth Plate,,Adamant,,120,252,0,0,0,136,31,31,31,31,31,31,Dragon Dance,Earthquake,Stone Edge,Recover
9,Arceus-Ground,Calm Mind,gen9ubers,Ubers,bulky_pivot;physical_wall;setup_sweeper,Earth Plate,,Bold,,240,0,252,0,0,16,31,31,31,31,31,31,Calm Mind,Judgment,Power Gem,Ice Beam
9,Arceus-Ground,Lead,gen9ubers,Ubers,hazard_setter;lead;special_attacker;status_spreader,Earth Plate,,Modest,,68,0,0,252,0,188,31,0,31,31,31,31,Judgment,Ice Beam,Thunder Wave,Stealth Rock
9,Arceus-Ice,Calm Mind,gen9ubers,Ubers,defensive_pivot;setup_sweeper,Icicle Plate,,Timid,,248,0,0,8,0,252,31,0,31,31,31,31,Judgment,Thunderbolt,Calm Mind,Recover
9,Arceus-Poison,Support,gen9ubers,Ubers,bulky_pivot;defensive_pivot;physical_wall;stallbreaker;status_spreader;support,Toxic Plate,,Impish,,252,0,132,0,0,124,31,31,31,31,31,31,Poison Jab,Will-O-Wisp,Taunt,Recover
9,Arceus-Poison,Iron Defense,gen9ubers,Ubers,bulky_pivot;defensive_pivot;setup_sweeper,Toxic Plate,,Timid,,252,0,160,0,0,96,31,0,31,31,31,31,Iron Defense,Body Press,Sludge Bomb,Recover
9,Arceus-Psychic,Stored Power,gen9ubers,Ubers,bulky_pivot;defensive_pivot;physical_wall;stallbreaker;support,Mind Plate,,Bold,,252,0,132,0,0,124,31,0,31,31,31,31,Cosmic Power,Stored Power,Recover,Taunt
9,Arceus-Rock,Calm Mind,gen9ubers,Ubers,defensive_pivot;setup_sweeper,Stone Plate,,Timid,,252,0,0,4,0,252,31,0,31,31,31,31,Judgment,Calm Mind,Recover,Grass Knot
9,Arceus-Steel,Calm Mind,gen9ubers,Ubers,defensive_pivot;setup_sweeper,Iron Plate,,Timid,,252,0,4,0,0,252,31,0,31,31,31,31,Judgment,Thunder,Calm Mind,Recover
9,Arceus-Water,Defensive,gen9ubers,Ubers,bulky_pivot;defensive_pivot;physical_wall;setup_sweeper;status_spreader;support,Splash Plate,,Bold,,240,0,252,0,0,16,31,31,31,31,31,31,Judgment,Calm Mind,Thunder Wave,Will-O-Wisp
9,Gothitelle,Choice Item,gen9ubers,Ubers,choice_user;defensive_pivot;special_attacker;special_wallbreaker;speed_control;trapper;wallbreaker,Choice Specs,Shadow Tag,Modest,,32,0,4,252,0,220,31,31,31,31,31,31,Trick,Rest,Psychic,Psyshock
9,Gothitelle,Delay Goth (Trapper),gen9ubers,Ubers,bulky_pivot;physical_wall;setup_sweeper;stallbreaker;support;trapper,Leftovers,Shadow Tag,Bold,,252,0,232,0,0,24,31,31,31,31,31,31,Taunt,Stored Power,Calm Mind,Charm
9,Alomomola,Physically Defensive,gen9ubers,Ubers,bulky_pivot;defensive_pivot;lead;physical_wall;screen_setter;support;trapper,Rocky Helmet,Regenerator,Relaxed,,252,0,252,0,4,0,31,31,31,31,31,31,Play Rough,Chilling Water,Whirlpool,Light Screen
9,Volcarona,Quiver Dance,gen9ubers,Ubers,defensive_pivot;setup_sweeper;status_spreader,Heavy-Duty Boots,,Timid,,80,0,252,0,0,176,31,0,31,31,31,31,Quiver Dance,Flamethrower,Morning Sun,Will-O-Wisp
9,Zekrom,Dragon Dance,gen9ubers,Ubers,physical_attacker;setup_sweeper;speed_control,Leftovers,,Jolly,,0,252,4,0,0,252,31,31,31,31,31,31,Dragon Dance,Bolt Strike,Dragon Claw,Substitute
9,Zekrom,Mixed Dragon Dance,gen9ubers,Ubers,physical_attacker;setup_sweeper;speed_control;wallbreaker,Life Orb,,Naive,,0,252,0,4,0,252,31,31,31,31,31,31,Dragon Dance,Bolt Strike,Dragon Claw,Draco Meteor
9,Landorus,Wallbreaker,gen9ubers,Ubers,special_attacker;speed_control;wallbreaker,Life Orb,Sheer Force,Timid,,0,0,0,252,4,252,31,0,31,31,31,31,Earth Power,Focus Blast,Psychic,Sludge Bomb
9,Landorus-Therian,Defensive Pivot,gen9ubers,Ubers,bulky_pivot;defensive_pivot;hazard_setter;lead;physical_wall;pivot;support,Rocky Helmet,,Impish,,248,0,252,0,0,8,31,31,31,31,31,31,Stealth Rock,Earthquake,U-turn,Rock Tomb
9,Landorus-Therian,Choice Scarf,gen9ubers,Ubers,choice_user;hazard_setter;lead;physical_attacker;pivot;revenge_killer;speed_control,Choice Scarf,,Jolly,,0,252,4,0,0,252,31,31,31,31,31,31,Earthquake,U-turn,Stone Edge,Stealth Rock
9,Kyurem-Black,Dragon Dance,gen9ubers,Ubers,physical_attacker;setup_sweeper;speed_control,Loaded Dice,,Jolly,,0,252,4,0,0,252,31,31,31,31,31,31,Dragon Dance,Fusion Bolt,Icicle Spear,Scale Shot
9,Ribombee,Sticky Web,gen9ubers,Ubers,hazard_setter;lead;special_attacker;speed_control;status_spreader,Focus Sash,Shield Dust,Timid,,0,0,0,252,4,252,31,31,31,31,31,31,Sticky Web,Moonblast,Stun Spore,Psychic Noise
9,Ribombee,Choice Scarf,gen9ubers,Ubers,choice_user;hazard_setter;lead;revenge_killer;special_attacker;speed_control;status_spreader,Choice Scarf,Shield Dust,Timid,,0,0,0,252,4,252,31,31,31,31,31,31,Sticky Web,Moonblast,Trick,Stun Spore
9,Toxapex,Physical Wall,gen9ubers,Ubers,bulky_pivot;defensive_pivot;hazard_setter;lead;phazer;physical_wall;status_spreader;support,Rocky Helmet,Regenerator,Impish,,252,0,252,0,4,0,31,31,31,31,31,31,Recover,Haze,Toxic,Toxic Spikes
9,Lunala,Calm Mind,gen9ubers,Ubers,setup_sweeper;special_attacker;speed_control,Heavy-Duty Boots,,Timid,,4,0,0,252,0,252,31,0,31,31,31,31,Calm Mind,Moongeist Beam,Psyshock,Focus Blast
9,Lunala,Choice Specs,gen9ubers,Ubers,choice_user;special_attacker;special_wallbreaker;speed_control;wallbreaker,Choice Specs,,Timid,,4,0,0,252,0,252,31,0,31,31,31,31,Moongeist Beam,Psyshock,Focus Blast,Moonblast
9,Lunala,Agility,gen9ubers,Ubers,setup_sweeper;special_attacker;speed_control,Power Herb,,Timid,,4,0,0,252,0,252,31,0,31,31,31,31,Agility,Moongeist Beam,Focus Blast,Moonblast
9,Necrozma-Dusk-Mane,Defensive Dragon Dance,gen9ubers,Ubers,bulky_pivot;defensive_pivot;physical_wall;setup_sweeper;support,Heavy-Duty Boots,,Impish,,248,0,140,0,0,120,31,31,31,31,31,31,Dragon Dance,Morning Sun,Sunsteel Strike,Photon Geyser
9,Necrozma-Dusk-Mane,Offensive Dragon Dance,gen9ubers,Ubers,physical_attacker;setup_sweeper;speed_control;wallbreaker,Life Orb,,Jolly,,0,252,4,0,0,252,31,31,31,31,31,31,Dragon Dance,Photon Geyser,Sunsteel Strike,Stone Edge
9,Necrozma-Dusk-Mane,Trick Room,gen9ubers,Ubers,physical_attacker;setup_sweeper;support;trick_room_setter,Weakness Policy,,Brave,,252,252,4,0,0,0,31,31,31,31,31,0,Trick Room,Swords Dance,Photon Geyser,Earthquake
9,Necrozma-Dusk-Mane,IDCM,gen9ubers,Ubers,bulky_pivot;defensive_pivot;physical_wall;setup_sweeper,Leftovers,,Bold,,248,0,140,0,120,0,31,31,31,31,31,31,Iron Defense,Calm Mind,Moonlight,Stored Power
9,Magearna,Double Dance,gen9ubers,Ubers,bulky_pivot;physical_wall;setup_sweeper,Leftovers,,Bold,,248,0,252,0,8,0,31,31,31,31,31,31,Iron Defense,Shift Gear,Calm Mind,Draining Kiss
9,Magearna,Trick Room Setter,gen9ubers,Ubers,bulky_pivot;hazard_setter;lead;physical_wall;pivot;support;trick_room_setter,Leftovers,,Relaxed,,248,0,252,8,0,0,31,31,31,31,31,31,Fleur Cannon,Trick Room,Spikes,Volt Switch
9,Corviknight,Physically Defensive,gen9ubers,Ubers,bulky_pivot;defensive_pivot;physical_wall;pivot;support,Leftovers,,Impish,,252,0,160,0,96,0,31,31,31,31,31,31,Body Press,U-turn,Brave Bird,Iron Head
9,Corviknight,Specially Defensive,gen9ubers,Ubers,bulky_pivot;defensive_pivot;pivot;special_wall;support,Leftovers,Mirror Armor,Careful,,248,0,8,0,252,0,31,31,31,31,31,31,Iron Head,Brave Bird,U-turn,Protect
9,Hatterene,Utility,gen9ubers,Ubers,bulky_pivot;defensive_pivot;physical_wall;support,Rocky Helmet,Magic Bounce,Bold,,248,0,252,0,0,8,31,31,31,31,31,31,Nuzzle,Psychic Noise,Psyshock,Pain Split
9,Hatterene,Bulky Calm Mind,gen9ubers,Ubers,bulky_pivot;physical_wall;setup_sweeper,Leftovers,Magic Bounce,Bold,,252,0,200,0,0,56,31,31,31,31,31,31,Psyshock,Stored Power,Draining Kiss,Mystical Fire
9,Grimmsnarl,Dual Screens,gen9ubers,Ubers,bulky_pivot;lead;physical_wall;screen_setter;stallbreaker;support,Light Clay,,Impish,,248,0,180,0,80,0,31,31,31,31,31,31,Reflect,Light Screen,Taunt,Play Rough
9,Zacian,Choice Band Wallbreaker,gen9ubers,Ubers,choice_user;physical_attacker;physical_wallbreaker;speed_control;wallbreaker,Choice Band,,Jolly,,0,252,4,0,0,252,31,31,31,31,31,31,Play Rough,Crunch,Tera Blast,Wild Charge
9,Zacian-Crowned,Ultimutt,gen9ubers,Ubers,physical_attacker;setup_sweeper;speed_control,Rusted Sword,,Jolly,,0,252,0,0,4,252,31,31,31,31,31,31,Swords Dance,Behemoth Blade,Play Rough,Close Combat
9,Zacian-Crowned,Trailblaze,gen9ubers,Ubers,physical_attacker;setup_sweeper;speed_control,Rusted Sword,,Jolly,,0,252,0,0,4,252,31,31,31,31,31,31,Swords Dance,Behemoth Blade,Wild Charge,Trailblaze
9,Zamazenta-Crowned,IronPress,gen9ubers,Ubers,defensive_pivot;setup_sweeper,Rusted Shield,,Jolly,,252,0,4,0,0,252,31,31,31,31,31,31,Body Press,Iron Defense,Rest,Substitute
9,Eternatus,Life Orb,gen9ubers,Ubers,defensive_pivot;special_attacker;speed_control;wallbreaker,Life Orb,,Timid,,0,0,4,252,0,252,31,31,31,31,31,31,Dynamax Cannon,Sludge Bomb,Fire Blast,Recover
9,Eternatus,Meteor Beam,gen9ubers,Ubers,setup_sweeper;special_attacker;speed_control,Power Herb,,Modest,,0,0,0,252,4,252,31,31,31,31,31,31,Agility,Meteor Beam,Dynamax Cannon,Fire Blast
9,Eternatus,Specially Defensive,gen9ubers,Ubers,defensive_pivot;hazard_setter;lead;special_wall;status_spreader;support,Heavy-Duty Boots,,Timid,,0,0,80,0,252,176,31,31,31,31,31,31,Dynamax Cannon,Toxic,Toxic Spikes,Flamethrower
9,Eternatus,Physically Defensive,gen9ubers,Ubers,defensive_pivot;physical_wall;support,Sitrus Berry,,Modest,,16,0,252,64,0,176,31,0,31,31,31,31,Dynamax Cannon,Sludge Bomb,Fire Blast,Recover
9,Eternatus,Choice Scarf,gen9ubers,Ubers,choice_user;hazard_setter;lead;revenge_killer;special_attacker;speed_control,Choice Scarf,,Timid,,0,0,4,252,0,252,31,31,31,31,31,31,Dynamax Cannon,Sludge Bomb,Fire Blast,Toxic Spikes
9,Urshifu,Choice Band,gen9ubers,Ubers,choice_user;physical_attacker;physical_wallbreaker;pivot;priority_user;revenge_killer;speed_control;wallbreaker,Choice Band,,Adamant,,0,252,4,0,0,252,31,31,31,31,31,31,Wicked Blow,Close Combat,Sucker Punch,U-turn
9,Urshifu,Swords Dance,gen9ubers,Ubers,physical_attacker;priority_user;revenge_killer;setup_sweeper;speed_control,Black Glasses,,Adamant,,0,252,4,0,0,252,31,31,31,31,31,31,Wicked Blow,Close Combat,Sucker Punch,Swords Dance
9,Urshifu-Rapid-Strike,Choice Band,gen9ubers,Ubers,choice_user;physical_attacker;physical_wallbreaker;priority_user;revenge_killer;speed_control;wallbreaker,Choice Band,,Adamant,,0,252,4,0,0,252,31,31,31,31,31,31,Surging Strikes,Close Combat,Poison Jab,Aqua Jet
9,Regieleki,Dual Screens,gen9ubers,Ubers,lead;pivot;screen_setter;support,Light Clay,,Jolly,,252,0,4,0,0,252,31,31,31,31,31,31,Reflect,Light Screen,Explosion,Volt Switch
9,Spectrier,Nasty Plot,gen9ubers,Ubers,setup_sweeper;special_attacker;speed_control;stallbreaker;support,Leftovers,,Timid,,0,0,0,252,4,252,31,0,31,31,31,31,Nasty Plot,Substitute,Taunt,Shadow Ball
9,Spectrier,Choice Specs,gen9ubers,Ubers,choice_user;special_attacker;special_wallbreaker;speed_control;status_spreader;wallbreaker,Choice Specs,,Timid,,0,0,0,252,4,252,31,0,31,31,31,31,Shadow Ball,Tera Blast,Will-O-Wisp,Dark Pulse
9,Calyrex-Ice,Offensive Trick Room,gen9ubers,Ubers,physical_attacker;setup_sweeper;support;trick_room_setter,Heavy-Duty Boots,,Brave,,248,252,0,0,8,0,31,31,31,31,31,0,Trick Room,Swords Dance,Glacial Lance,High Horsepower
9,Ursaluna-Bloodmoon,Bear,gen9ubers,Ubers,defensive_pivot;setup_sweeper;special_attacker;speed_control,Leftovers,,Modest,,0,0,4,252,0,252,31,31,31,31,31,31,Calm Mind,Blood Moon,Hyper Voice,Moonlight
9,Skeledirge,Physical Wall,gen9ubers,Ubers,bulky_pivot;defensive_pivot;physical_wall;status_spreader,Heavy-Duty Boots,Unaware,Bold,,252,0,252,4,0,0,31,0,31,31,31,31,Torch Song,Hex,Earth Power,Will-O-Wisp
9,Espathra,Calm Mind,gen9ubers,Ubers,setup_sweeper,Electric Seed,Speed Boost,Bold,,152,0,244,0,0,112,31,31,31,31,31,31,Calm Mind,Stored Power,Dazzling Gleam,Tera Blast
9,Palafin,Choice Band,gen9ubers,Ubers,choice_user;physical_attacker;physical_wallbreaker;pivot;speed_control;wallbreaker,Choice Band,,Adamant,,0,252,4,0,0,252,31,31,31,31,31,31,Jet Punch,Flip Turn,Wave Crash,Close Combat
9,Palafin,Bulk Up,gen9ubers,Ubers,bulky_pivot;setup_sweeper;special_wall;stallbreaker;support,Leftovers,,Careful,,248,8,0,0,252,0,31,31,31,31,31,31,Jet Punch,Bulk Up,Drain Punch,Taunt
9,Orthworm,Shed Tail,gen9ubers,Ubers,bulky_pivot;hazard_setter;lead;physical_wall,Sitrus Berry,,Impish,,248,0,252,0,8,0,31,31,31,31,31,31,Shed Tail,Stealth Rock,Spikes,Body Press
9,Glimmora,Suicide Lead,gen9ubers,Ubers,hazard_setter;lead,Focus Sash,,Timid,,0,0,0,0,0,0,31,31,31,31,31,31,Stealth Rock,Spikes,Mortal Spin,Mud Shot
9,Dondozo,Defensive,gen9ubers,Ubers,bulky_pivot;defensive_pivot;physical_wall;setup_sweeper;support,Leftovers,,Impish,,252,0,252,0,4,0,31,31,31,31,31,31,Liquidation,Rest,Earthquake,Curse
